url,keyword
https://www.currys.co.uk/gbuk/sony-gaming/console-gaming/consoles/634_4783_32541_49_xx/xx-criteria.html,playstation 4
https://www.currys.co.uk/gbuk/rtx-3060/components-upgrades/graphics-cards/324_3091_30343_xx_ba00013562-bv00314002/xx-criteria.html,3060
